@relation robots

@attribute distanciaInimigo numeric
@attribute velocidadeLateral numeric
@attribute potenciaBala {0.5,3.0}
@attribute anguloArmaAtual numeric
@attribute anguloAbsolutoInimigo numeric
@attribute anguloArmaPreditor numeric
@attribute acertou {SIM,NAO}

@data
150.0,0.76,3.0,2.17,2.13,-0.01,NAO
150.0,0.22,3.0,3.19,3.26,0.08,NAO
150.0,7.29,3.0,3.92,3.5,0.07,NAO
100.0,1.88,3.0,4.04,3.89,-0.02,NAO
150.0,1.01,3.0,3.23,3.1,-0.08,SIM
600.0,2.0,3.0,0.72,0.63,0.0,NAO
550.0,6.17,3.0,1.06,0.78,0.0,NAO
350.0,6.22,3.0,1.13,0.86,0.01,NAO
200.0,-1.51,3.0,0.63,0.64,-0.06,NAO
150.0,-5.79,3.0,5.96,0.13,0.07,NAO
200.0,-3.28,3.0,5.64,-0.52,-0.03,NAO
250.0,-2.08,3.0,5.03,5.08,-0.04,NAO
300.0,-5.9,3.0,4.3,4.53,-0.04,NAO
50.0,-5.09,3.0,3.0,3.4,0.06,SIM
550.0,-6.91,3.0,4.95,5.24,-0.02,SIM
400.0,-7.93,3.0,4.51,4.84,-0.03,NAO
250.0,3.0,3.0,4.75,4.68,0.07,SIM
150.0,-3.47,3.0,4.6,4.73,-0.1,SIM
100.0,-3.97,3.0,5.18,-0.86,-0.02,NAO
50.0,1.36,3.0,0.45,0.17,-0.19,SIM
100.0,-0.7,3.0,0.71,0.8,0.04,SIM
150.0,1.26,3.0,4.37,4.15,-0.14,NAO
200.0,0.48,3.0,4.25,4.19,-0.04,NAO
300.0,1.7,3.0,3.19,3.13,0.02,NAO
500.0,-7.89,3.0,4.19,4.55,0.0,NAO
650.0,0.0,3.0,4.49,4.5,0.01,NAO
400.0,-7.94,3.0,4.23,4.59,-0.0,NAO
350.0,-7.98,3.0,4.29,4.65,-0.0,NAO
250.0,-3.0,3.0,4.62,4.71,-0.05,NAO
600.0,-7.84,3.0,4.15,4.51,0.0,NAO
200.0,3.53,3.0,4.5,3.45,-0.89,NAO
300.0,-4.98,3.0,2.88,3.1,-0.01,NAO
300.0,7.99,3.0,5.02,4.66,0.0,NAO
400.0,7.95,3.0,4.96,4.6,0.0,NAO
500.0,7.91,3.0,4.91,4.56,0.01,NAO
600.0,0.0,3.0,4.48,4.48,0.0,NAO
150.0,-0.22,3.0,5.15,-1.03,0.09,NAO
100.0,-1.62,3.0,4.93,5.08,0.04,NAO
100.0,-5.35,3.0,3.65,3.98,-0.03,SIM
50.0,7.98,3.0,3.08,2.76,0.21,SIM
100.0,3.97,3.0,1.54,1.29,0.01,NAO
200.0,1.83,3.0,4.66,4.53,-0.05,NAO
150.0,5.03,3.0,3.97,3.77,0.14,NAO
150.0,7.76,3.0,0.21,6.04,0.06,NAO
300.0,3.99,3.0,5.68,5.44,-0.06,NAO
150.0,0.0,3.0,0.22,0.21,-0.01,SIM
150.0,7.17,3.0,0.78,0.46,0.01,NAO
200.0,-1.54,3.0,5.14,5.18,-0.03,SIM
150.0,5.71,3.0,5.99,5.51,-0.1,NAO
250.0,4.33,3.0,5.31,4.14,-0.97,NAO
200.0,-7.83,3.0,3.8,4.16,0.0,NAO
150.0,7.9,3.0,5.18,4.71,0.06,NAO
450.0,-0.8,3.0,4.29,4.31,-0.02,NAO
250.0,-3.64,3.0,4.19,4.31,-0.05,NAO
100.0,-4.5,3.0,5.1,-0.98,-0.1,SIM
200.0,-3.51,3.0,5.12,-1.03,-0.03,NAO
100.0,-0.04,3.0,4.97,-1.2,0.11,SIM
100.0,-0.27,3.0,5.82,-0.35,0.1,SIM
150.0,0.11,3.0,4.62,4.6,-0.02,SIM
100.0,-0.54,3.0,4.59,4.61,-0.02,SIM
150.0,0.0,3.0,4.65,5.0,0.35,NAO
150.0,0.11,3.0,3.5,4.83,1.34,SIM
650.0,-0.03,3.0,3.78,3.79,0.01,NAO
500.0,7.89,3.0,4.46,4.12,0.02,NAO
450.0,-3.19,3.0,3.12,-2.88,0.14,NAO
550.0,5.63,3.0,3.82,3.59,0.03,NAO
150.0,0.82,3.0,6.17,-0.24,-0.09,NAO
200.0,3.08,3.0,5.1,4.98,0.02,NAO
150.0,-7.9,3.0,4.43,-1.42,-0.09,NAO
350.0,-6.0,3.0,2.95,3.29,0.07,NAO
300.0,-6.69,3.0,3.23,3.39,-0.14,NAO
100.0,6.32,3.0,4.67,4.5,0.25,NAO
300.0,-0.0,3.0,3.78,3.52,-0.26,SIM
150.0,7.69,3.0,0.32,-0.16,0.03,NAO
150.0,-0.46,3.0,6.08,-0.27,-0.09,NAO
500.0,3.04,3.0,0.71,5.26,-1.6,NAO
450.0,-1.89,3.0,5.23,5.41,0.09,NAO
350.0,-3.26,3.0,5.24,5.45,0.06,NAO
200.0,-0.99,3.0,5.74,5.73,-0.05,NAO
200.0,-1.24,3.0,1.29,1.31,-0.04,NAO
250.0,-0.31,3.0,0.82,0.8,-0.03,NAO
150.0,1.11,3.0,0.67,0.66,0.04,NAO
100.0,0.0,3.0,1.46,1.46,0.0,SIM
300.0,2.83,3.0,3.4,3.25,-0.02,NAO
200.0,-7.58,3.0,2.68,3.0,-0.02,NAO
150.0,-7.76,3.0,2.33,2.8,-0.05,SIM
150.0,3.42,3.0,2.16,1.99,0.06,NAO
400.0,0.0,0.5,4.07,4.15,0.08,NAO
600.0,-6.3,0.5,3.98,4.24,-0.03,NAO
350.0,-7.57,3.0,0.02,0.33,-0.03,NAO
500.0,-1.5,0.5,4.0,4.14,0.07,NAO
200.0,-1.94,3.0,0.04,6.52,0.11,NAO
400.0,-4.98,3.0,0.74,1.06,0.09,NAO
250.0,0.0,3.0,0.94,0.99,0.05,NAO
150.0,-7.76,3.0,1.34,1.72,-0.14,NAO
150.0,5.68,3.0,2.32,2.08,0.02,NAO
200.0,4.66,3.0,2.37,2.17,0.01,SIM
450.0,-2.52,3.0,2.01,2.14,0.02,NAO
600.0,8.0,3.0,2.61,2.25,0.0,NAO
700.0,0.14,3.0,1.68,2.23,0.56,NAO
100.0,-1.44,3.0,2.24,2.34,0.0,SIM
150.0,-0.27,3.0,1.53,1.36,-0.19,SIM
150.0,3.09,3.0,0.98,0.86,0.09,SIM
